run_id,variant,scenario,repetition,profile,git_commit,coredns_image_id,host_hardware,playlist_success_rate,segment_success_rate,session_failure_rate,segment_p50_ms,segment_p95_ms,segment_p99_ms,stall_events,iterations
adaptive-cold-cache-01-20260829T031245Z,adaptive,cold-cache,1,smoke,6505451e5be5c85b930256b154535f235f63f50d,sha256:a06067e80a5ab8370ab8cba5a1a0dc5dc448ee696aab523286c1d35281fb30ed,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.2651075,5.462010649999994,504.2360717,0.0,252.0
adaptive-cold-cache-02-20260829T031311Z,adaptive,cold-cache,2,smoke,6505451e5be5c85b930256b154535f235f63f50d,sha256:a06067e80a5ab8370ab8cba5a1a0dc5dc448ee696aab523286c1d35281fb30ed,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.247999,4.288924,7.516474999999993,0.0,281.0
adaptive-cold-cache-03-20260829T031337Z,adaptive,cold-cache,3,smoke,6505451e5be5c85b930256b154535f235f63f50d,sha256:a06067e80a5ab8370ab8cba5a1a0dc5dc448ee696aab523286c1d35281fb30ed,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.372546,70.19195434999999,503.39338609000004,0.0,254.0
adaptive-disconnect-01-20260829T030653Z,adaptive,disconnect,1,smoke,6505451e5be5c85b930256b154535f235f63f50d,sha256:a06067e80a5ab8370ab8cba5a1a0dc5dc448ee696aab523286c1d35281fb30ed,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.169828,4.164252000000001,5.614950800000002,0.0,285.0
adaptive-disconnect-02-20260829T030720Z,adaptive,disconnect,2,smoke,6505451e5be5c85b930256b154535f235f63f50d,sha256:a06067e80a5ab8370ab8cba5a1a0dc5dc448ee696aab523286c1d35281fb30ed,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.1947685,4.620982799999992,501.8244075,0.0,274.0
adaptive-disconnect-03-20260829T030747Z,adaptive,disconnect,3,smoke,6505451e5be5c85b930256b154535f235f63f50d,sha256:a06067e80a5ab8370ab8cba5a1a0dc5dc448ee696aab523286c1d35281fb30ed,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.107281,4.627563599999999,129.47884240000445,0.0,277.0
adaptive-latency-01-20260829T030531Z,adaptive,latency,1,smoke,6505451e5be5c85b930256b154535f235f63f50d,sha256:a06067e80a5ab8370ab8cba5a1a0dc5dc448ee696aab523286c1d35281fb30ed,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.309071,4.5342055000000006,502.4980898,0.0,271.0
adaptive-latency-02-20260829T030558Z,adaptive,latency,2,smoke,6505451e5be5c85b930256b154535f235f63f50d,sha256:a06067e80a5ab8370ab8cba5a1a0dc5dc448ee696aab523286c1d35281fb30ed,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.621942,4.761814199999997,7.054774420000004,0.0,283.0
adaptive-latency-03-20260829T030626Z,adaptive,latency,3,smoke,6505451e5be5c85b930256b154535f235f63f50d,sha256:a06067e80a5ab8370ab8cba5a1a0dc5dc448ee696aab523286c1d35281fb30ed,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.189633,4.415021699999999,116.86630101998541,0.0,279.0
adaptive-pod-down-01-20260829T030814Z,adaptive,pod-down,1,smoke,6505451e5be5c85b930256b154535f235f63f50d,sha256:a06067e80a5ab8370ab8cba5a1a0dc5dc448ee696aab523286c1d35281fb30ed,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.212043,4.486099,108.88611179999442,0.0,281.0
adaptive-pod-down-02-20260829T030944Z,adaptive,pod-down,2,smoke,6505451e5be5c85b930256b154535f235f63f50d,sha256:a06067e80a5ab8370ab8cba5a1a0dc5dc448ee696aab523286c1d35281fb30ed,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.211361,4.1272528,260.2517162899955,0.0,250.0
adaptive-pod-down-03-20260829T031114Z,adaptive,pod-down,3,smoke,6505451e5be5c85b930256b154535f235f63f50d,sha256:a06067e80a5ab8370ab8cba5a1a0dc5dc448ee696aab523286c1d35281fb30ed,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.2710135,4.68864075,501.3281092,0.0,246.0
baseline-cold-cache-01-20260829T030403Z,baseline,cold-cache,1,smoke,6505451e5be5c85b930256b154535f235f63f50d,sha256:a06067e80a5ab8370ab8cba5a1a0dc5dc448ee696aab523286c1d35281fb30ed,12th Gen Intel(R) Core(TM) i5-12400F,0.9900497512437811,1.0,0.019704433497536946,1.135984,4.1135047,23.566539420004993,0.0,203.0
baseline-cold-cache-02-20260829T030428Z,baseline,cold-cache,2,smoke,6505451e5be5c85b930256b154535f235f63f50d,sha256:a06067e80a5ab8370ab8cba5a1a0dc5dc448ee696aab523286c1d35281fb30ed,12th Gen Intel(R) Core(TM) i5-12400F,0.9905660377358491,1.0,0.018691588785046728,1.1761,7.579036199999994,502.3988454,0.0,214.0
baseline-cold-cache-03-20260829T030452Z,baseline,cold-cache,3,smoke,6505451e5be5c85b930256b154535f235f63f50d,sha256:a06067e80a5ab8370ab8cba5a1a0dc5dc448ee696aab523286c1d35281fb30ed,12th Gen Intel(R) Core(TM) i5-12400F,0.9912663755458515,1.0,0.017316017316017316,1.20895,3.966927299999997,7.2043377200000025,0.0,231.0
