run_id,variant,scenario,repetition,profile,git_commit,coredns_image_id,host_hardware,playlist_success_rate,segment_success_rate,session_failure_rate,segment_p50_ms,segment_p95_ms,segment_p99_ms,stall_events,iterations
adaptive-cold-cache-01-20260829T035127Z,adaptive,cold-cache,1,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.210575,4.947600299999999,197.49141485999775,0.0,263.0
adaptive-cold-cache-02-20260829T035155Z,adaptive,cold-cache,2,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.3583665,501.84905865,503.73029479,0.0,244.0
adaptive-cold-cache-03-20260829T035221Z,adaptive,cold-cache,3,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.254564,4.406847400000002,501.24745232,0.0,275.0
adaptive-disconnect-01-20260829T034535Z,adaptive,disconnect,1,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.391893,5.042040599999999,126.50811904000449,0.0,277.0
adaptive-disconnect-02-20260829T034602Z,adaptive,disconnect,2,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.204001,5.5462202,502.04560482,0.0,267.0
adaptive-disconnect-03-20260829T034629Z,adaptive,disconnect,3,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.231588,4.167521249999998,120.78626205000899,0.0,278.0
adaptive-latency-01-20260829T034414Z,adaptive,latency,1,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,0.994475138121547,0.0055248618784530384,1.301623,503.688679,2003.6605406,5.0,181.0
adaptive-latency-02-20260829T034441Z,adaptive,latency,2,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.2204570000000001,4.5924130000000005,133.61033600000002,0.0,276.0
adaptive-latency-03-20260829T034508Z,adaptive,latency,3,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.334744,5.0646175,501.89376699999997,0.0,271.0
adaptive-pod-down-01-20260829T034656Z,adaptive,pod-down,1,smoke,8794f2bc354abdc6c54521a37f9d099ac375e371,sha256:67702937d3c2610d224b5af5a8dc44d366c3ec817e589f58b8ac9bb073c013fb,12th Gen Intel(R) Core(TM) i5-12400F,1.0,1.0,0.0,1.344885,6.40262275,502.4389134,0.0,266.0
