scenario,variant,runs,playlist_success_rate_mean,playlist_success_rate_median,playlist_success_rate_p95,playlist_success_rate_min,playlist_success_rate_max,playlist_success_rate_stdev,segment_success_rate_mean,segment_success_rate_median,segment_success_rate_p95,segment_success_rate_min,segment_success_rate_max,segment_success_rate_stdev,session_failure_rate_mean,session_failure_rate_median,session_failure_rate_p95,session_failure_rate_min,session_failure_rate_max,session_failure_rate_stdev,segment_p50_ms_mean,segment_p50_ms_median,segment_p50_ms_p95,segment_p50_ms_min,segment_p50_ms_max,segment_p50_ms_stdev,segment_p95_ms_mean,segment_p95_ms_median,segment_p95_ms_p95,segment_p95_ms_min,segment_p95_ms_max,segment_p95_ms_stdev,segment_p99_ms_mean,segment_p99_ms_median,segment_p99_ms_p95,segment_p99_ms_min,segment_p99_ms_max,segment_p99_ms_stdev,stall_events_mean,stall_events_median,stall_events_p95,stall_events_min,stall_events_max,stall_events_stdev
cold-cache,adaptive,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2745018333333333,1.254564,1.34798625,1.210575,1.3583665,0.07588622909713816,170.40116878333333,4.947600299999999,452.15891281499995,4.406847400000002,501.84905865,287.0424199943699,400.8230539899992,501.24745232,503.482010543,197.49141485999775,503.73029479,176.09474077936733,0.0,0.0,0.0,0.0,0.0,0.0
cold-cache,baseline,3,0.9896203643302455,0.9892933618843683,0.9905181212351658,0.9889135254988913,0.9906542056074766,0.000915253931875377,1.0,1.0,1.0,1.0,1.0,0.0,0.020544927919296043,0.0211864406779661,0.021855486173059768,0.018518518518518517,0.021929824561403508,0.0017938523334456113,1.2782083333333334,1.244599,1.3638391,1.212938,1.377088,0.08708327101305587,4.561139633333332,4.5695575,5.242014549999998,3.7971293999999975,5.316731999999997,0.759836272391035,135.47053706333352,7.381850699999988,354.2374649280005,6.252782869999997,392.7769776200006,222.83462918159157,0.0,0.0,0.0,0.0,0.0,0.0
cold-cache,static-rendezvous,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3233208333333335,1.3292925,1.3578625500000001,1.279633,1.361037,0.041029238429238904,5.830190549999998,5.388818999999999,6.651566385,5.309880999999998,6.79187165,0.8337749729596764,415.4250881599998,501.86437648,501.94763342799996,242.45400379999947,501.9568842,149.79736031694728,0.0,0.0,0.0,0.0,0.0,0.0
disconnect,adaptive,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2758273333333332,1.231588,1.3758625,1.204001,1.391893,0.10145782314012723,4.918594016666666,5.042040599999999,5.49580224,4.167521249999998,5.5462202,0.6975901324454653,249.7799953033378,126.50811904000449,464.49185624200044,120.78626205000899,502.04560482,218.48715802184643,0.0,0.0,0.0,0.0,0.0,0.0
disconnect,baseline,3,0.5144366744366744,0.2848484848484848,0.9284848484848485,0.2584615384615384,1.0,0.42071709625827425,1.0,1.0,1.0,1.0,1.0,0.0,0.5618374558303887,0.833922261484099,0.8498233215547703,0.0,0.8515901060070671,0.48664569582294154,1.403214,1.438163,1.5799607,1.175763,1.595716,0.2121466591841597,5.050056399999996,4.765309699999994,5.566372789999998,4.729479699999998,5.655379799999999,0.5245314682320513,49.43561323666815,14.05034585999999,116.35102668600402,6.5387248499999915,127.71776900000448,67.89829192082748,0.0,0.0,0.0,0.0,0.0,0.0
disconnect,static-rendezvous,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2981706666666668,1.2274945000000002,1.4380260999999999,1.205599,1.4614185,0.14180001602991202,6.309877633333333,6.779913849999999,8.33632183,3.6404629999999987,8.50925605,2.4681950844019225,391.723937276668,502.61343039999997,503.307964423,169.17324656000397,503.38513487,192.7349380257649,0.0,0.0,0.0,0.0,0.0,0.0
latency,adaptive,3,1.0,1.0,1.0,1.0,1.0,0.0,0.998158379373849,1.0,1.0,0.994475138121547,1.0,0.0031897804927603552,0.0018416206261510127,0.0,0.004972375690607734,0.0,0.0055248618784530384,0.003189780492760363,1.285608,1.301623,1.3314319,1.2204570000000001,1.334744,0.05880254893284804,171.1152365,5.0646175,453.82627284999995,4.5924130000000005,503.688679,288.0171466015488,879.7215478666667,501.89376699999997,1853.48386324,133.61033600000002,2003.6605406,990.6247099316158,1.6666666666666667,0.0,4.5,0.0,5.0,2.8867513459481287
latency,baseline,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2957138333333333,1.3072475,1.34277725,1.233169,1.346725,0.05764989491823322,502.0648409666667,501.891366,502.45129083,501.7896522,502.5135047,0.3918683241652328,503.7820067166667,503.53340691,504.22717969499996,503.50834768,504.30426556,0.45246294415337923,0.0,0.0,0.0,0.0,0.0,0.0
latency,static-rendezvous,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2741714999999998,1.294198,1.3178000499999998,1.207894,1.3204224999999998,0.05887666222494266,5.552681566666666,5.258790399999999,6.791888469999999,4.437021599999998,6.9622326999999995,1.2880030233948698,378.0554101633348,502.51731393999995,503.779445437,127.72923428000449,503.91968227,216.78996150309237,0.0,0.0,0.0,0.0,0.0,0.0
pod-down,adaptive,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3694091666666666,1.344885,1.42620495,1.328102,1.4352405,0.05762586752998457,5.593470816666666,5.305000599999997,6.292860534999999,5.072789099999999,6.40262275,0.7102997139207274,502.30261864999994,502.4389134,502.76461962,501.66813335,502.8008092,0.5785074238516517,0.0,0.0,0.0,0.0,0.0,0.0
pod-down,baseline,3,0.6080917874396136,0.6376811594202898,0.7192028985507246,0.45833333333333337,0.7282608695652174,0.13737491366589422,1.0,1.0,1.0,1.0,1.0,0.0,0.5552173596927815,0.5319148936170213,0.6856239217941346,0.43103448275862066,0.7027027027027027,0.13732501274642397,1.7692778333333334,1.436762,2.3999807,1.3640664999999998,2.507005,0.6399235800145071,7.730320099999999,7.8232095,8.054647289999998,7.2873882,8.080362599999997,0.40456573042969074,12.254626666666665,11.034538379999997,16.781172785999996,8.3096539,17.419687719999995,4.675964138103694,0.0,0.0,0.0,0.0,0.0,0.0
pod-down,static-rendezvous,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3113394999999999,1.310897,1.3232049499999998,1.298549,1.3245725,0.013017391933486512,5.560377533333333,5.152691749999999,6.367970389999998,5.0254395,6.503001349999998,0.8188119616816424,502.0238854966667,502.26439039,502.430084449,501.35877120000004,502.4484949,0.5833149992700065,0.0,0.0,0.0,0.0,0.0,0.0
